Ano de Publicação;Título do Artigo;Nome do Autor;Categoria do Autor
2021;Data Cleansing of Multiple Environmental Monitoring Time Series Using Spatio-Temporal Correlation;Ranier A. A. Moura;Aluno
2021;Data Cleansing of Multiple Environmental Monitoring Time Series Using Spatio-Temporal Correlation;Domingos B. S. Santos;Professor
2021;Data Cleansing of Multiple Environmental Monitoring Time Series Using Spatio-Temporal Correlation;Daniel G. M. Lira;Professor
2021;Data Cleansing of Multiple Environmental Monitoring Time Series Using Spatio-Temporal Correlation;José E. B. Maia;Professor
2021;Zeroth Order Policy Search Methods for Global Optimization Problems: An Experimental Study;Moésio W. da Silva Filho;Aluno
2021;Zeroth Order Policy Search Methods for Global Optimization Problems: An Experimental Study;Gabriel A. Barbosa;Professor
2021;Zeroth Order Policy Search Methods for Global Optimization Problems: An Experimental Study;Péricles B. C. Miranda;Professor
2021;Zeroth Order Policy Search Methods for Global Optimization Problems: An Experimental Study;André C. A. Nascimento;Professor
2021;Zeroth Order Policy Search Methods for Global Optimization Problems: An Experimental Study;Rafael Ferreira Mello;Professor
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;Hyan H. N. Batista;Aluno
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;André C. A. Nascimento;Professor
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;Rafael Ferreira Melo;Professor
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;Péricles B. C. Miranda;Professor
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;Isabel W. S. Maldonado;Professor
2021;A comparative analysis of text embedding approach to extract named entities in Portuguese legal documents;José L. M. Coelho Filho;Professor
2021;Universal Approximation Theorem for Tessarine-Valued Neural Networks;Rafael A. F. Carniello;Aluno
2021;Universal Approximation Theorem for Tessarine-Valued Neural Networks;Wington L. Vital;Professor
2021;Universal Approximation Theorem for Tessarine-Valued Neural Networks;Marcos Eduardo Valle;Professor
2021;A Comparative Analysis of Machine Learning Named Entity Recognition Tools for the Brazilian and European Portuguese Language Variants;Breno David Lopes Pinheiro;Aluno
2021;A Comparative Analysis of Machine Learning Named Entity Recognition Tools for the Brazilian and European Portuguese Language Variants;Ellen Polliana Ramos Souza;Professor
2021;A Comparative Analysis of Machine Learning Named Entity Recognition Tools for the Brazilian and European Portuguese Language Variants;Douglas Vitório;Professor
2021;A Comparative Analysis of Machine Learning Named Entity Recognition Tools for the Brazilian and European Portuguese Language Variants;Hidelberg Oliveira Albuquerque;Professor
2021;Applying machine learning to assist the diagnosis of COVID-19 from blood and urine exams;Jessica Almeida dos Santos;Aluno
2021;Applying machine learning to assist the diagnosis of COVID-19 from blood and urine exams;Lilian Berton;Professor
2021;Deep Learning and Mel-spectrograms for Physica Violence Detection in Audio;Tiago B. Lacerda;Aluno
2021;Deep Learning and Mel-spectrograms for Physica Violence Detection in Audio;Péricles Miranda;Professor
2021;Deep Learning and Mel-spectrograms for Physica Violence Detection in Audio;André Câmara;Professor
2021;Deep Learning and Mel-spectrograms for Physica Violence Detection in Audio;Ana Paula C. Furtado;Professor
2021;Detecting Misinformation in Tweets Related to COVID-19;Ramon Souza da Cruz;Aluno
2021;Detecting Misinformation in Tweets Related to COVID-19;Gilberto Nunes Neto;Professor
2021;Detecting Misinformation in Tweets Related to COVID-19;Rafael Torres Anchiêta;Professor
2021;Detection of weapon possession and fire in Public Safety surveillance cameras;Natan Santos Moura;Aluno
2021;Detection of weapon possession and fire in Public Safety surveillance cameras;João Medrado Gondim;Professor
2021;Detection of weapon possession and fire in Public Safety surveillance cameras;Daniela Barreiro Claro;Professor
2021;Detection of weapon possession and fire in Public Safety surveillance cameras;Marlo Souza;Professor
2021;Detection of weapon possession and fire in Public Safety surveillance cameras;Roberto de Cerqueira Figueiredo;Professor
2021;Uma Abordagem de Agrupamento Automático de Dados Baseada na Otimização por Busca em Grupo Memética;Luciano D. S. Pací?co;Aluno
2021;Uma Abordagem de Agrupamento Automático de Dados Baseada na Otimização por Busca em Grupo Memética;Teresa B. Ludermir;Professor
2021;Hybrid Swarm Enhanced Classifier Ensembles;José Matheus Lacerda Barbosa;Aluno
2021;Hybrid Swarm Enhanced Classifier Ensembles;Adriano Marabuco de Albuquerque Lima;Professor
2021;Hybrid Swarm Enhanced Classifier Ensembles;Paulo Salgado Gomes de Mattos Neto;Professor
2021;Hybrid Swarm Enhanced Classifier Ensembles;Adriano Lorena Inácio de Oliveira;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Tomaz M. Suller;Aluno
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Eric O. Gomes;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Henrique B. Oliveira;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Lucas P. Cotrim;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Amir M. Sa’ad;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Ismael H. F. Santos;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Rodrigo A. Barreira;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Eduardo A. Tannuri;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Edson S. Gomi;Professor
2021;Evaluation of Neural Architecture Search Approaches for Offshore Platform Offset Prediction;Anna H. R. Costa;Professor
2021;Extraction and enrichment of features to improve complaint text classification performance;Eduardo de Paiva;Aluno
2021;Extraction and enrichment of features to improve complaint text classification performance;Fernando Sola Pereira;Professor
2021;Tessarine and Quaternion-Valued Deep Neural Networks for Image Classification;Fernando Ribeiro de Senna;Aluno
2021;Tessarine and Quaternion-Valued Deep Neural Networks for Image Classification;Marcos Eduardo Valle;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Cleyton M. O. Rodrigues;Aluno
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Bruno J. T. Fernandes;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Leandro H. S. Silva;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;David J. Barrientos;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Allana L. S. Rocha;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Paulo Christiano Sobral;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Bruno Souza;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Dionizio Feitosa;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Mabel Guimarães;Professor
2021;MISLA²: A System to Information Retrieval in Labour Lawsuits using Legal Ontologies and Regular Expressions;Juliana Barreto;Professor
2021;Iterative machine learning applied to annotation of text datasets;Thiago Abdo;Aluno
2021;Iterative machine learning applied to annotation of text datasets;Fabiano Silva;Professor
2021;Algoritmo Evolucionário com Inspiração Quântica e Sequências Caóticas para Seleção de Atributos em Interfaces Cérebro-Computador;Alimed Celecia;Aluno
2021;Algoritmo Evolucionário com Inspiração Quântica e Sequências Caóticas para Seleção de Atributos em Interfaces Cérebro-Computador;Marley Vellasco;Professor
2021;Definição de regiões de interesse em problemas multiobjetivo utilizando hiper-elipses;Patrick P. F. Ferreira;Aluno
2021;Definição de regiões de interesse em problemas multiobjetivo utilizando hiper-elipses;Luciana B. Cosme;Professor
2021;Definição de regiões de interesse em problemas multiobjetivo utilizando hiper-elipses;Allysson S. M. Lacerda;Professor
2021;Trust Computing Based on Argumentation Debates with Votes for Detecting Lying Agents;Jeferson José Baqueta;Aluno
2021;Trust Computing Based on Argumentation Debates with Votes for Detecting Lying Agents;Mariela Morveli-Espinoza;Professor
2021;Trust Computing Based on Argumentation Debates with Votes for Detecting Lying Agents;Cesar A. Tacla;Professor
2021;A stock trading algorithm based on trend forecasting and time series classification;Matheus Rosisca Padovani;Aluno
